变量名称,VIF
城镇人均可支配收入（元）,982.8066353361978
人均GDP（元）,853.008626385158
人口数量（人）,218.33885284554088
房地产行业年末从业人数（人）,141.46720586408676
完成投资额（万元）,64.86353015936176
土地购置费（万元）,54.47887426219136
人均个人储蓄存款余额（元）,50.19793780133986
三年至五年期贷款利率,8.693742659863313
开发商市场垄断力指数,5.062162094960272
居民消费价格指数（CPI）,3.5201876082351813
竣工房屋面积（万平方米）,2.8710994937524257
