模型,RMSE,MAE,MAPE,R2
PCA-MLR,2305.528180832345,1663.9972406382524,16.871171944181768,0.9126251629687182
PCA-ANN,1372.7197238190288,914.5249727398162,12.869320343074856,0.969025146830874
