变量,系数,标准误,t值,P值,95%下限,95%上限
const,10926.557543859657,524.5666657901603,20.829683349018886,1.7494489017071574e-12,9808.47016244565,12044.644925273664
Z1,2489.3431034644086,194.4373938830866,12.802800190591052,1.7752478813252282e-09,2074.9096086325644,2903.776598296253
Z2,-1029.2468969284641,434.0023862712119,-2.371523589470033,0.031529328045750746,-1954.3010859179003,-104.19270793902785
Z3,504.48779102459525,466.40721333064266,1.0816466311102197,0.2964928828372711,-489.63565187459324,1498.6112339237839
